quarter,state,population
1986-03-01 00:00:00,Overseas Arrivals ;  Australia ;,53.6
1986-06-01 00:00:00,Overseas Arrivals ;  Australia ;,43.2
1986-09-01 00:00:00,Overseas Arrivals ;  Australia ;,47.2
1986-12-01 00:00:00,Overseas Arrivals ;  Australia ;,52.7
1987-03-01 00:00:00,Overseas Arrivals ;  Australia ;,57.1
1987-06-01 00:00:00,Overseas Arrivals ;  Australia ;,47.5
1987-09-01 00:00:00,Overseas Arrivals ;  Australia ;,54.2
1987-12-01 00:00:00,Overseas Arrivals ;  Australia ;,62.8
1988-03-01 00:00:00,Overseas Arrivals ;  Australia ;,69.8
1988-06-01 00:00:00,Overseas Arrivals ;  Australia ;,55.4
1988-09-01 00:00:00,Overseas Arrivals ;  Australia ;,62.5
1988-12-01 00:00:00,Overseas Arrivals ;  Australia ;,66.1
1989-03-01 00:00:00,Overseas Arrivals ;  Australia ;,67.9
1989-06-01 00:00:00,Overseas Arrivals ;  Australia ;,53.4
1989-09-01 00:00:00,Overseas Arrivals ;  Australia ;,57.5
1989-12-01 00:00:00,Overseas Arrivals ;  Australia ;,59.3
1990-03-01 00:00:00,Overseas Arrivals ;  Australia ;,64.3
1990-06-01 00:00:00,Overseas Arrivals ;  Australia ;,50.8
1990-09-01 00:00:00,Overseas Arrivals ;  Australia ;,58.7
1990-12-01 00:00:00,Overseas Arrivals ;  Australia ;,60.2
1991-03-01 00:00:00,Overseas Arrivals ;  Australia ;,68.5
1991-06-01 00:00:00,Overseas Arrivals ;  Australia ;,49
1991-09-01 00:00:00,Overseas Arrivals ;  Australia ;,60.1
1991-12-01 00:00:00,Overseas Arrivals ;  Australia ;,59.6
1992-03-01 00:00:00,Overseas Arrivals ;  Australia ;,68.3
1992-06-01 00:00:00,Overseas Arrivals ;  Australia ;,46.1
1992-09-01 00:00:00,Overseas Arrivals ;  Australia ;,52.4
1992-12-01 00:00:00,Overseas Arrivals ;  Australia ;,53.7
1993-03-01 00:00:00,Overseas Arrivals ;  Australia ;,59.3
1993-06-01 00:00:00,Overseas Arrivals ;  Australia ;,38.4
1993-09-01 00:00:00,Overseas Arrivals ;  Australia ;,49.3
1993-12-01 00:00:00,Overseas Arrivals ;  Australia ;,50.9
1994-03-01 00:00:00,Overseas Arrivals ;  Australia ;,63.5
1994-06-01 00:00:00,Overseas Arrivals ;  Australia ;,43.7
1994-09-01 00:00:00,Overseas Arrivals ;  Australia ;,56.6
1994-12-01 00:00:00,Overseas Arrivals ;  Australia ;,58.2
1995-03-01 00:00:00,Overseas Arrivals ;  Australia ;,73.3
1995-06-01 00:00:00,Overseas Arrivals ;  Australia ;,50.5
1995-09-01 00:00:00,Overseas Arrivals ;  Australia ;,64
1995-12-01 00:00:00,Overseas Arrivals ;  Australia ;,66.2
1996-03-01 00:00:00,Overseas Arrivals ;  Australia ;,82.7
1996-06-01 00:00:00,Overseas Arrivals ;  Australia ;,49.9
1996-09-01 00:00:00,Overseas Arrivals ;  Australia ;,64.3
1996-12-01 00:00:00,Overseas Arrivals ;  Australia ;,64.4
1997-03-01 00:00:00,Overseas Arrivals ;  Australia ;,82.7
1997-06-01 00:00:00,Overseas Arrivals ;  Australia ;,49.5
1997-09-01 00:00:00,Overseas Arrivals ;  Australia ;,65.1
1997-12-01 00:00:00,Overseas Arrivals ;  Australia ;,62.9
1998-03-01 00:00:00,Overseas Arrivals ;  Australia ;,83.4
1998-06-01 00:00:00,Overseas Arrivals ;  Australia ;,54.1
1998-09-01 00:00:00,Overseas Arrivals ;  Australia ;,67.6
1998-12-01 00:00:00,Overseas Arrivals ;  Australia ;,63.3
1999-03-01 00:00:00,Overseas Arrivals ;  Australia ;,85.4
1999-06-01 00:00:00,Overseas Arrivals ;  Australia ;,55.6
1999-09-01 00:00:00,Overseas Arrivals ;  Australia ;,75.3
1999-12-01 00:00:00,Overseas Arrivals ;  Australia ;,73.6
2000-03-01 00:00:00,Overseas Arrivals ;  Australia ;,93.9
2000-06-01 00:00:00,Overseas Arrivals ;  Australia ;,62.4
2000-09-01 00:00:00,Overseas Arrivals ;  Australia ;,80.2
2000-12-01 00:00:00,Overseas Arrivals ;  Australia ;,81
2001-03-01 00:00:00,Overseas Arrivals ;  Australia ;,116.1
2001-06-01 00:00:00,Overseas Arrivals ;  Australia ;,71.2
2001-09-01 00:00:00,Overseas Arrivals ;  Australia ;,88.8
2001-12-01 00:00:00,Overseas Arrivals ;  Australia ;,80.4
2002-03-01 00:00:00,Overseas Arrivals ;  Australia ;,113.9
2002-06-01 00:00:00,Overseas Arrivals ;  Australia ;,70.3
2002-09-01 00:00:00,Overseas Arrivals ;  Australia ;,93.6
2002-12-01 00:00:00,Overseas Arrivals ;  Australia ;,84.2
2003-03-01 00:00:00,Overseas Arrivals ;  Australia ;,122
2003-06-01 00:00:00,Overseas Arrivals ;  Australia ;,74.1
2003-09-01 00:00:00,Overseas Arrivals ;  Australia ;,101.7
2003-12-01 00:00:00,Overseas Arrivals ;  Australia ;,90.7
2004-03-01 00:00:00,Overseas Arrivals ;  Australia ;,128.9
2004-06-01 00:00:00,Overseas Arrivals ;  Australia ;,80
2004-09-01 00:00:00,Overseas Arrivals ;  Australia ;,107.7
2004-12-01 00:00:00,Overseas Arrivals ;  Australia ;,95.9
2005-03-01 00:00:00,Overseas Arrivals ;  Australia ;,138.7
2005-06-01 00:00:00,Overseas Arrivals ;  Australia ;,84.6
2005-09-01 00:00:00,Overseas Arrivals ;  Australia ;,114.1
2005-12-01 00:00:00,Overseas Arrivals ;  Australia ;,104.9
2006-03-01 00:00:00,Overseas Arrivals ;  Australia ;,146
2006-06-01 00:00:00,Overseas Arrivals ;  Australia ;,92.4
2006-09-01 00:00:00,Overseas Arrivals ;  Australia ;,108.4
2006-12-01 00:00:00,Overseas Arrivals ;  Australia ;,105
2007-03-01 00:00:00,Overseas Arrivals ;  Australia ;,125.2
2007-06-01 00:00:00,Overseas Arrivals ;  Australia ;,98.8
2007-09-01 00:00:00,Overseas Arrivals ;  Australia ;,120.1
2007-12-01 00:00:00,Overseas Arrivals ;  Australia ;,116.4
2008-03-01 00:00:00,Overseas Arrivals ;  Australia ;,146.6
2008-06-01 00:00:00,Overseas Arrivals ;  Australia ;,118.2
2008-09-01 00:00:00,Overseas Arrivals ;  Australia ;,139
2008-12-01 00:00:00,Overseas Arrivals ;  Australia ;,132.2
2009-03-01 00:00:00,Overseas Arrivals ;  Australia ;,143.2
2009-06-01 00:00:00,Overseas Arrivals ;  Australia ;,105.4
2009-09-01 00:00:00,Overseas Arrivals ;  Australia ;,122.6
2009-12-01 00:00:00,Overseas Arrivals ;  Australia ;,107.6
2010-03-01 00:00:00,Overseas Arrivals ;  Australia ;,119.2
2010-06-01 00:00:00,Overseas Arrivals ;  Australia ;,88.5
2010-09-01 00:00:00,Overseas Arrivals ;  Australia ;,109.6
2010-12-01 00:00:00,Overseas Arrivals ;  Australia ;,107.8
2011-03-01 00:00:00,Overseas Arrivals ;  Australia ;,120.4
2011-06-01 00:00:00,Overseas Arrivals ;  Australia ;,94
2011-09-01 00:00:00,Overseas Arrivals ;  Australia ;,117.7
2011-12-01 00:00:00,Overseas Arrivals ;  Australia ;,116.9
2012-03-01 00:00:00,Overseas Arrivals ;  Australia ;,128.7
2012-06-01 00:00:00,Overseas Arrivals ;  Australia ;,104
2012-09-01 00:00:00,Overseas Arrivals ;  Australia ;,125.9
2012-12-01 00:00:00,Overseas Arrivals ;  Australia ;,119.7
2013-03-01 00:00:00,Overseas Arrivals ;  Australia ;,134.2
2013-06-01 00:00:00,Overseas Arrivals ;  Australia ;,102.2
2013-09-01 00:00:00,Overseas Arrivals ;  Australia ;,128.1
2013-12-01 00:00:00,Overseas Arrivals ;  Australia ;,114.1
2014-03-01 00:00:00,Overseas Arrivals ;  Australia ;,128.2
2014-06-01 00:00:00,Overseas Arrivals ;  Australia ;,94.3
2014-09-01 00:00:00,Overseas Arrivals ;  Australia ;,123.3
2014-12-01 00:00:00,Overseas Arrivals ;  Australia ;,113
2015-03-01 00:00:00,Overseas Arrivals ;  Australia ;,130
2015-06-01 00:00:00,Overseas Arrivals ;  Australia ;,98.9
2015-09-01 00:00:00,Overseas Arrivals ;  Australia ;,127.4
2015-12-01 00:00:00,Overseas Arrivals ;  Australia ;,116.9
2016-03-01 00:00:00,Overseas Arrivals ;  Australia ;,138.1
2016-06-01 00:00:00,Overseas Arrivals ;  Australia ;,106.8
2016-09-01 00:00:00,Overseas Arrivals ;  Australia ;,145.2
2016-12-01 00:00:00,Overseas Arrivals ;  Australia ;,129.4
2017-03-01 00:00:00,Overseas Arrivals ;  Australia ;,155.1
2017-06-01 00:00:00,Overseas Arrivals ;  Australia ;,110.3
2017-09-01 00:00:00,Overseas Arrivals ;  Australia ;,145.2
2017-12-01 00:00:00,Overseas Arrivals ;  Australia ;,120.8
2018-03-01 00:00:00,Overseas Arrivals ;  Australia ;,151
2018-06-01 00:00:00,Overseas Arrivals ;  Australia ;,110.6
2018-09-01 00:00:00,Overseas Arrivals ;  Australia ;,148.6
2018-12-01 00:00:00,Overseas Arrivals ;  Australia ;,124.2
2019-03-01 00:00:00,Overseas Arrivals ;  Australia ;,153.2
2019-06-01 00:00:00,Overseas Arrivals ;  Australia ;,124.4
2019-09-01 00:00:00,Overseas Arrivals ;  Australia ;,164.5
2019-12-01 00:00:00,Overseas Arrivals ;  Australia ;,165.7
2020-03-01 00:00:00,Overseas Arrivals ;  Australia ;,163.7
2020-06-01 00:00:00,Overseas Arrivals ;  Australia ;,12.9
2020-09-01 00:00:00,Overseas Arrivals ;  Australia ;,19.6
2020-12-01 00:00:00,Overseas Arrivals ;  Australia ;,39.1
2021-03-01 00:00:00,Overseas Arrivals ;  Australia ;,41.3
2021-06-01 00:00:00,Overseas Arrivals ;  Australia ;,45.9
2021-09-01 00:00:00,Overseas Arrivals ;  Australia ;,34.9
2021-12-01 00:00:00,Overseas Arrivals ;  Australia ;,92.3
2022-03-01 00:00:00,Overseas Arrivals ;  Australia ;,161
2022-06-01 00:00:00,Overseas Arrivals ;  Australia ;,135.8
2022-09-01 00:00:00,Overseas Arrivals ;  Australia ;,180.2
2022-12-01 00:00:00,Overseas Arrivals ;  Australia ;,174.4
2023-03-01 00:00:00,Overseas Arrivals ;  Australia ;,214.6
2023-06-01 00:00:00,Overseas Arrivals ;  Australia ;,169.2
2023-09-01 00:00:00,Overseas Arrivals ;  Australia ;,197.3
2023-12-01 00:00:00,Overseas Arrivals ;  Australia ;,158
2024-03-01 00:00:00,Overseas Arrivals ;  Australia ;,185
2024-06-01 00:00:00,Overseas Arrivals ;  Australia ;,120.1
2024-09-01 00:00:00,Overseas Arrivals ;  Australia ;,151.8
2024-12-01 00:00:00,Overseas Arrivals ;  Australia ;,138
Unit,Overseas Departures ;  Australia ;,000
Series Type,Overseas Departures ;  Australia ;,Original
Data Type,Overseas Departures ;  Australia ;,FLOW
Frequency,Overseas Departures ;  Australia ;,Quarter
Collection Month,Overseas Departures ;  Australia ;,3
Series Start,Overseas Departures ;  Australia ;,1981-06-01 00:00:00
Series End,Overseas Departures ;  Australia ;,2024-12-01 00:00:00
No. Obs,Overseas Departures ;  Australia ;,175
Series ID,Overseas Departures ;  Australia ;,A2133249K
1981-06-01 00:00:00,Overseas Departures ;  Australia ;,19.1
1981-09-01 00:00:00,Overseas Departures ;  Australia ;,19.1
1981-12-01 00:00:00,Overseas Departures ;  Australia ;,21.7
1982-03-01 00:00:00,Overseas Departures ;  Australia ;,26.3
1982-06-01 00:00:00,Overseas Departures ;  Australia ;,20.5
1982-09-01 00:00:00,Overseas Departures ;  Australia ;,21.2
1982-12-01 00:00:00,Overseas Departures ;  Australia ;,24.3
1983-03-01 00:00:00,Overseas Departures ;  Australia ;,29.3
1983-06-01 00:00:00,Overseas Departures ;  Australia ;,22.5
1983-09-01 00:00:00,Overseas Departures ;  Australia ;,23.9
1983-12-01 00:00:00,Overseas Departures ;  Australia ;,24.8
1984-03-01 00:00:00,Overseas Departures ;  Australia ;,27
1984-06-01 00:00:00,Overseas Departures ;  Australia ;,23
1984-09-01 00:00:00,Overseas Departures ;  Australia ;,22
1984-12-01 00:00:00,Overseas Departures ;  Australia ;,24.4
1985-03-01 00:00:00,Overseas Departures ;  Australia ;,26.4
1985-06-01 00:00:00,Overseas Departures ;  Australia ;,22.5
1985-09-01 00:00:00,Overseas Departures ;  Australia ;,21.4
1985-12-01 00:00:00,Overseas Departures ;  Australia ;,23.1
1986-03-01 00:00:00,Overseas Departures ;  Australia ;,26.2
1986-06-01 00:00:00,Overseas Departures ;  Australia ;,21.8
1986-09-01 00:00:00,Overseas Departures ;  Australia ;,21.2
1986-12-01 00:00:00,Overseas Departures ;  Australia ;,23.2
1987-03-01 00:00:00,Overseas Departures ;  Australia ;,28.2
1987-06-01 00:00:00,Overseas Departures ;  Australia ;,22.6
1987-09-01 00:00:00,Overseas Departures ;  Australia ;,22.9
1987-12-01 00:00:00,Overseas Departures ;  Australia ;,24
1988-03-01 00:00:00,Overseas Departures ;  Australia ;,28
1988-06-01 00:00:00,Overseas Departures ;  Australia ;,24.1
1988-09-01 00:00:00,Overseas Departures ;  Australia ;,24.8
1988-12-01 00:00:00,Overseas Departures ;  Australia ;,27.9
1989-03-01 00:00:00,Overseas Departures ;  Australia ;,32.6
1989-06-01 00:00:00,Overseas Departures ;  Australia ;,27.3
1989-09-01 00:00:00,Overseas Departures ;  Australia ;,28.2
1989-12-01 00:00:00,Overseas Departures ;  Australia ;,31.9
1990-03-01 00:00:00,Overseas Departures ;  Australia ;,35.9
1990-06-01 00:00:00,Overseas Departures ;  Australia ;,32.1
1990-09-01 00:00:00,Overseas Departures ;  Australia ;,32.6
1990-12-01 00:00:00,Overseas Departures ;  Australia ;,36.9
1991-03-01 00:00:00,Overseas Departures ;  Australia ;,39.9
1991-06-01 00:00:00,Overseas Departures ;  Australia ;,32.2
1991-09-01 00:00:00,Overseas Departures ;  Australia ;,33.5
1991-12-01 00:00:00,Overseas Departures ;  Australia ;,38.1
1992-03-01 00:00:00,Overseas Departures ;  Australia ;,40.2
1992-06-01 00:00:00,Overseas Departures ;  Australia ;,32.5
1992-09-01 00:00:00,Overseas Departures ;  Australia ;,33.2
1992-12-01 00:00:00,Overseas Departures ;  Australia ;,37.7
1993-03-01 00:00:00,Overseas Departures ;  Australia ;,38.8
1993-06-01 00:00:00,Overseas Departures ;  Australia ;,31.4
1993-09-01 00:00:00,Overseas Departures ;  Australia ;,33
1993-12-01 00:00:00,Overseas Departures ;  Australia ;,37.3
1994-03-01 00:00:00,Overseas Departures ;  Australia ;,37.8
1994-06-01 00:00:00,Overseas Departures ;  Australia ;,32
1994-09-01 00:00:00,Overseas Departures ;  Australia ;,33.1
1994-12-01 00:00:00,Overseas Departures ;  Australia ;,38.9
1995-03-01 00:00:00,Overseas Departures ;  Australia ;,40.8
1995-06-01 00:00:00,Overseas Departures ;  Australia ;,32.7
1995-09-01 00:00:00,Overseas Departures ;  Australia ;,35
1995-12-01 00:00:00,Overseas Departures ;  Australia ;,40.8
1996-03-01 00:00:00,Overseas Departures ;  Australia ;,43
1996-06-01 00:00:00,Overseas Departures ;  Australia ;,34.2
1996-09-01 00:00:00,Overseas Departures ;  Australia ;,36.7
1996-12-01 00:00:00,Overseas Departures ;  Australia ;,44.3
1997-03-01 00:00:00,Overseas Departures ;  Australia ;,46.6
1997-06-01 00:00:00,Overseas Departures ;  Australia ;,38.9
1997-09-01 00:00:00,Overseas Departures ;  Australia ;,42.2
1997-12-01 00:00:00,Overseas Departures ;  Australia ;,48.8
1998-03-01 00:00:00,Overseas Departures ;  Australia ;,49.7
1998-06-01 00:00:00,Overseas Departures ;  Australia ;,45.6
1998-09-01 00:00:00,Overseas Departures ;  Australia ;,41.1
1998-12-01 00:00:00,Overseas Departures ;  Australia ;,43.2
1999-03-01 00:00:00,Overseas Departures ;  Australia ;,50.3
1999-06-01 00:00:00,Overseas Departures ;  Australia ;,40.8
1999-09-01 00:00:00,Overseas Departures ;  Australia ;,45.5
1999-12-01 00:00:00,Overseas Departures ;  Australia ;,49
2000-03-01 00:00:00,Overseas Departures ;  Australia ;,56.4
2000-06-01 00:00:00,Overseas Departures ;  Australia ;,46.9
2000-09-01 00:00:00,Overseas Departures ;  Australia ;,48.3
2000-12-01 00:00:00,Overseas Departures ;  Australia ;,54.4
2001-03-01 00:00:00,Overseas Departures ;  Australia ;,61.3
2001-06-01 00:00:00,Overseas Departures ;  Australia ;,48.8
2001-09-01 00:00:00,Overseas Departures ;  Australia ;,53.1
2001-12-01 00:00:00,Overseas Departures ;  Australia ;,52.9
2002-03-01 00:00:00,Overseas Departures ;  Australia ;,63.4
2002-06-01 00:00:00,Overseas Departures ;  Australia ;,50.3
2002-09-01 00:00:00,Overseas Departures ;  Australia ;,53.6
2002-12-01 00:00:00,Overseas Departures ;  Australia ;,55.7
2003-03-01 00:00:00,Overseas Departures ;  Australia ;,61.6
2003-06-01 00:00:00,Overseas Departures ;  Australia ;,48.7
2003-09-01 00:00:00,Overseas Departures ;  Australia ;,54.3
2003-12-01 00:00:00,Overseas Departures ;  Australia ;,60.3
2004-03-01 00:00:00,Overseas Departures ;  Australia ;,66
2004-06-01 00:00:00,Overseas Departures ;  Australia ;,56.1
2004-09-01 00:00:00,Overseas Departures ;  Australia ;,57
2004-12-01 00:00:00,Overseas Departures ;  Australia ;,64.6
2005-03-01 00:00:00,Overseas Departures ;  Australia ;,69.9
2005-06-01 00:00:00,Overseas Departures ;  Australia ;,57.5
2005-09-01 00:00:00,Overseas Departures ;  Australia ;,59
2005-12-01 00:00:00,Overseas Departures ;  Australia ;,65.4
2006-03-01 00:00:00,Overseas Departures ;  Australia ;,72.4
2006-06-01 00:00:00,Overseas Departures ;  Australia ;,61.4
2006-09-01 00:00:00,Overseas Departures ;  Australia ;,51.5
2006-12-01 00:00:00,Overseas Departures ;  Australia ;,54.4
2007-03-01 00:00:00,Overseas Departures ;  Australia ;,49.2
2007-06-01 00:00:00,Overseas Departures ;  Australia ;,49.6
2007-09-01 00:00:00,Overseas Departures ;  Australia ;,57.3
2007-12-01 00:00:00,Overseas Departures ;  Australia ;,60.4
2008-03-01 00:00:00,Overseas Departures ;  Australia ;,53.1
2008-06-01 00:00:00,Overseas Departures ;  Australia ;,53.1
2008-09-01 00:00:00,Overseas Departures ;  Australia ;,54.9
2008-12-01 00:00:00,Overseas Departures ;  Australia ;,59.1
2009-03-01 00:00:00,Overseas Departures ;  Australia ;,54.5
2009-06-01 00:00:00,Overseas Departures ;  Australia ;,51.4
2009-09-01 00:00:00,Overseas Departures ;  Australia ;,60.1
2009-12-01 00:00:00,Overseas Departures ;  Australia ;,65.9
2010-03-01 00:00:00,Overseas Departures ;  Australia ;,59.4
2010-06-01 00:00:00,Overseas Departures ;  Australia ;,56.5
2010-09-01 00:00:00,Overseas Departures ;  Australia ;,67.8
2010-12-01 00:00:00,Overseas Departures ;  Australia ;,69.4
2011-03-01 00:00:00,Overseas Departures ;  Australia ;,59.5
2011-06-01 00:00:00,Overseas Departures ;  Australia ;,54.7
2011-09-01 00:00:00,Overseas Departures ;  Australia ;,62.3
2011-12-01 00:00:00,Overseas Departures ;  Australia ;,66.3
2012-03-01 00:00:00,Overseas Departures ;  Australia ;,54.7
2012-06-01 00:00:00,Overseas Departures ;  Australia ;,52.1
2012-09-01 00:00:00,Overseas Departures ;  Australia ;,62.5
2012-12-01 00:00:00,Overseas Departures ;  Australia ;,68.8
2013-03-01 00:00:00,Overseas Departures ;  Australia ;,63
2013-06-01 00:00:00,Overseas Departures ;  Australia ;,57.5
2013-09-01 00:00:00,Overseas Departures ;  Australia ;,73.9
2013-12-01 00:00:00,Overseas Departures ;  Australia ;,76
2014-03-01 00:00:00,Overseas Departures ;  Australia ;,63.1
2014-06-01 00:00:00,Overseas Departures ;  Australia ;,63.9
2014-09-01 00:00:00,Overseas Departures ;  Australia ;,73.1
2014-12-01 00:00:00,Overseas Departures ;  Australia ;,76.3
2015-03-01 00:00:00,Overseas Departures ;  Australia ;,66.3
2015-06-01 00:00:00,Overseas Departures ;  Australia ;,65.6
2015-09-01 00:00:00,Overseas Departures ;  Australia ;,77
2015-12-01 00:00:00,Overseas Departures ;  Australia ;,77.6
2016-03-01 00:00:00,Overseas Departures ;  Australia ;,65.1
2016-06-01 00:00:00,Overseas Departures ;  Australia ;,63.3
2016-09-01 00:00:00,Overseas Departures ;  Australia ;,71.6
2016-12-01 00:00:00,Overseas Departures ;  Australia ;,75.9
2017-03-01 00:00:00,Overseas Departures ;  Australia ;,66.4
2017-06-01 00:00:00,Overseas Departures ;  Australia ;,63
2017-09-01 00:00:00,Overseas Departures ;  Australia ;,75.4
2017-12-01 00:00:00,Overseas Departures ;  Australia ;,84.9
2018-03-01 00:00:00,Overseas Departures ;  Australia ;,65.9
2018-06-01 00:00:00,Overseas Departures ;  Australia ;,63.1
2018-09-01 00:00:00,Overseas Departures ;  Australia ;,74.7
2018-12-01 00:00:00,Overseas Departures ;  Australia ;,78.5
2019-03-01 00:00:00,Overseas Departures ;  Australia ;,69.6
2019-06-01 00:00:00,Overseas Departures ;  Australia ;,86.2
2019-09-01 00:00:00,Overseas Departures ;  Australia ;,90
2019-12-01 00:00:00,Overseas Departures ;  Australia ;,114.4
2020-03-01 00:00:00,Overseas Departures ;  Australia ;,88.5
2020-06-01 00:00:00,Overseas Departures ;  Australia ;,21.2
2020-09-01 00:00:00,Overseas Departures ;  Australia ;,62.2
2020-12-01 00:00:00,Overseas Departures ;  Australia ;,68.4
2021-03-01 00:00:00,Overseas Departures ;  Australia ;,55.5
2021-06-01 00:00:00,Overseas Departures ;  Australia ;,44.8
2021-09-01 00:00:00,Overseas Departures ;  Australia ;,47.9
2021-12-01 00:00:00,Overseas Departures ;  Australia ;,56.9
2022-03-01 00:00:00,Overseas Departures ;  Australia ;,53.4
2022-06-01 00:00:00,Overseas Departures ;  Australia ;,57.8
2022-09-01 00:00:00,Overseas Departures ;  Australia ;,52.5
2022-12-01 00:00:00,Overseas Departures ;  Australia ;,49.7
2023-03-01 00:00:00,Overseas Departures ;  Australia ;,49.1
2023-06-01 00:00:00,Overseas Departures ;  Australia ;,48.7
2023-09-01 00:00:00,Overseas Departures ;  Australia ;,52.1
2023-12-01 00:00:00,Overseas Departures ;  Australia ;,58.5
2024-03-01 00:00:00,Overseas Departures ;  Australia ;,56.3
2024-06-01 00:00:00,Overseas Departures ;  Australia ;,63
2024-09-01 00:00:00,Overseas Departures ;  Australia ;,65
2024-12-01 00:00:00,Overseas Departures ;  Australia ;,70
Unit,Net Permanent and Long Term Movement ;  Australia ;,000
Series Type,Net Permanent and Long Term Movement ;  Australia ;,Original
Data Type,Net Permanent and Long Term Movement ;  Australia ;,FLOW
Frequency,Net Permanent and Long Term Movement ;  Australia ;,Quarter
Collection Month,Net Permanent and Long Term Movement ;  Australia ;,3
Series Start,Net Permanent and Long Term Movement ;  Australia ;,1981-06-01 00:00:00
Series End,Net Permanent and Long Term Movement ;  Australia ;,2024-12-01 00:00:00
No. Obs,Net Permanent and Long Term Movement ;  Australia ;,175
Series ID,Net Permanent and Long Term Movement ;  Australia ;,A2133253A
1981-06-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,29.1
1981-09-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,30.8
1981-12-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,35
1982-03-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,32.4
1982-06-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,24.8
1982-09-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,24.4
1982-12-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,21.3
1983-03-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,18.1
1983-06-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,11.6
1983-09-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,10.3
1983-12-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,13
1984-03-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,14.3
1984-06-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,9
1984-09-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,14.9
1984-12-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,19.1
1985-03-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,20.1
1985-06-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,13.9
1985-09-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,19.5
1985-12-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,25.6
1986-03-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,27.5
1986-06-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,21.4
1986-09-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,25.9
1986-12-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,29.4
1987-03-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,28.9
1987-06-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,24.9
1987-09-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,31.3
1987-12-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,38.8
1988-03-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,41.8
1988-06-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,31.4
1988-09-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,37.7
1988-12-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,38.3
1989-03-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,35.3
1989-06-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,26
1989-09-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,29.3
1989-12-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,27.4
1990-03-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,28.4
1990-06-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,18.8
1990-09-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,26.1
1990-12-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,23.3
1991-03-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,28.5
1991-06-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,16.8
1991-09-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,26.6
1991-12-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,21.6
1992-03-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,28.1
1992-06-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,13.6
1992-09-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,19.1
1992-12-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,16
1993-03-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,20.5
1993-06-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,7.1
1993-09-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,16.3
1993-12-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,13.6
1994-03-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,25.7
1994-06-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,11.7
1994-09-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,23.5
1994-12-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,19.3
1995-03-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,32.5
1995-06-01 00:00:00,Net Permanent and Long Term Movement ;  Australia ;,17.7
