quarter,state,price_index
Unit,Residential Property Price Index ;  Sydney ;,Index Numbers
Series ID,Residential Property Price Index ;  Melbourne ;,A83728392R
2003-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,60.7
2003-12-01 00:00:00,Residential Property Price Index ;  Melbourne ;,62.1
2004-03-01 00:00:00,Residential Property Price Index ;  Melbourne ;,60.8
2004-06-01 00:00:00,Residential Property Price Index ;  Melbourne ;,60.9
2004-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,60.9
2004-12-01 00:00:00,Residential Property Price Index ;  Melbourne ;,62.4
2005-03-01 00:00:00,Residential Property Price Index ;  Melbourne ;,62.5
2005-06-01 00:00:00,Residential Property Price Index ;  Melbourne ;,63.2
2005-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,63.1
2005-12-01 00:00:00,Residential Property Price Index ;  Melbourne ;,64
2006-03-01 00:00:00,Residential Property Price Index ;  Melbourne ;,65.4
2006-06-01 00:00:00,Residential Property Price Index ;  Melbourne ;,67.2
2006-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,68.1
2006-12-01 00:00:00,Residential Property Price Index ;  Melbourne ;,69.5
2007-03-01 00:00:00,Residential Property Price Index ;  Melbourne ;,71
2007-06-01 00:00:00,Residential Property Price Index ;  Melbourne ;,76
2007-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,79.5
2007-12-01 00:00:00,Residential Property Price Index ;  Melbourne ;,84.7
2008-03-01 00:00:00,Residential Property Price Index ;  Melbourne ;,85.7
2008-06-01 00:00:00,Residential Property Price Index ;  Melbourne ;,85.5
2008-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,83
2008-12-01 00:00:00,Residential Property Price Index ;  Melbourne ;,82.3
2009-03-01 00:00:00,Residential Property Price Index ;  Melbourne ;,82.5
2009-06-01 00:00:00,Residential Property Price Index ;  Melbourne ;,86.9
2009-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,92.5
2009-12-01 00:00:00,Residential Property Price Index ;  Melbourne ;,98.6
2010-03-01 00:00:00,Residential Property Price Index ;  Melbourne ;,103.3
2010-06-01 00:00:00,Residential Property Price Index ;  Melbourne ;,106.2
2010-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,104.3
2010-12-01 00:00:00,Residential Property Price Index ;  Melbourne ;,105.7
2011-03-01 00:00:00,Residential Property Price Index ;  Melbourne ;,104.7
2011-06-01 00:00:00,Residential Property Price Index ;  Melbourne ;,103.5
2011-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,101.3
2011-12-01 00:00:00,Residential Property Price Index ;  Melbourne ;,100
2012-03-01 00:00:00,Residential Property Price Index ;  Melbourne ;,99.4
2012-06-01 00:00:00,Residential Property Price Index ;  Melbourne ;,99.3
2012-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,98.6
2012-12-01 00:00:00,Residential Property Price Index ;  Melbourne ;,100.4
2013-03-01 00:00:00,Residential Property Price Index ;  Melbourne ;,100.8
2013-06-01 00:00:00,Residential Property Price Index ;  Melbourne ;,102.7
2013-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,105.9
2013-12-01 00:00:00,Residential Property Price Index ;  Melbourne ;,109.7
2014-03-01 00:00:00,Residential Property Price Index ;  Melbourne ;,110.7
2014-06-01 00:00:00,Residential Property Price Index ;  Melbourne ;,112.1
2014-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,113.1
2014-12-01 00:00:00,Residential Property Price Index ;  Melbourne ;,115.2
2015-03-01 00:00:00,Residential Property Price Index ;  Melbourne ;,115.9
2015-06-01 00:00:00,Residential Property Price Index ;  Melbourne ;,120.8
2015-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,124.3
2015-12-01 00:00:00,Residential Property Price Index ;  Melbourne ;,126.3
2016-03-01 00:00:00,Residential Property Price Index ;  Melbourne ;,127.3
2016-06-01 00:00:00,Residential Property Price Index ;  Melbourne ;,130.7
2016-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,132.9
2016-12-01 00:00:00,Residential Property Price Index ;  Melbourne ;,140
2017-03-01 00:00:00,Residential Property Price Index ;  Melbourne ;,144.4
2017-06-01 00:00:00,Residential Property Price Index ;  Melbourne ;,148.7
2017-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,150.4
2017-12-01 00:00:00,Residential Property Price Index ;  Melbourne ;,154.3
2018-03-01 00:00:00,Residential Property Price Index ;  Melbourne ;,153.4
2018-06-01 00:00:00,Residential Property Price Index ;  Melbourne ;,152.1
2018-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,148.1
2018-12-01 00:00:00,Residential Property Price Index ;  Melbourne ;,144.5
2019-03-01 00:00:00,Residential Property Price Index ;  Melbourne ;,139
2019-06-01 00:00:00,Residential Property Price Index ;  Melbourne ;,137.9
2019-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,142.9
2019-12-01 00:00:00,Residential Property Price Index ;  Melbourne ;,150.4
2020-03-01 00:00:00,Residential Property Price Index ;  Melbourne ;,153.5
2020-06-01 00:00:00,Residential Property Price Index ;  Melbourne ;,150
2020-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,149.6
2020-12-01 00:00:00,Residential Property Price Index ;  Melbourne ;,154.7
2021-03-01 00:00:00,Residential Property Price Index ;  Melbourne ;,162.6
2021-06-01 00:00:00,Residential Property Price Index ;  Melbourne ;,172.5
2021-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,178.7
2021-12-01 00:00:00,Residential Property Price Index ;  Melbourne ;,185.7
Unit,Residential Property Price Index ;  Brisbane ;,Index Numbers
Series Type,Residential Property Price Index ;  Brisbane ;,Original
Data Type,Residential Property Price Index ;  Brisbane ;,INDEX
Frequency,Residential Property Price Index ;  Brisbane ;,Quarter
Collection Month,Residential Property Price Index ;  Brisbane ;,3
Series Start,Residential Property Price Index ;  Brisbane ;,2003-09-01 00:00:00
Series End,Residential Property Price Index ;  Brisbane ;,2021-12-01 00:00:00
No. Obs,Residential Property Price Index ;  Brisbane ;,74
Series ID,Residential Property Price Index ;  Brisbane ;,A83728401F
2003-09-01 00:00:00,Residential Property Price Index ;  Brisbane ;,64.2
2003-12-01 00:00:00,Residential Property Price Index ;  Brisbane ;,69.4
2004-03-01 00:00:00,Residential Property Price Index ;  Brisbane ;,70.7
2004-06-01 00:00:00,Residential Property Price Index ;  Brisbane ;,71.7
2004-09-01 00:00:00,Residential Property Price Index ;  Brisbane ;,71.2
2004-12-01 00:00:00,Residential Property Price Index ;  Brisbane ;,72
2005-03-01 00:00:00,Residential Property Price Index ;  Brisbane ;,72.6
2005-06-01 00:00:00,Residential Property Price Index ;  Brisbane ;,73.3
2005-09-01 00:00:00,Residential Property Price Index ;  Brisbane ;,73.6
2005-12-01 00:00:00,Residential Property Price Index ;  Brisbane ;,75
2006-03-01 00:00:00,Residential Property Price Index ;  Brisbane ;,75.6
2006-06-01 00:00:00,Residential Property Price Index ;  Brisbane ;,77.5
2006-09-01 00:00:00,Residential Property Price Index ;  Brisbane ;,78.5
2006-12-01 00:00:00,Residential Property Price Index ;  Brisbane ;,80.5
2007-03-01 00:00:00,Residential Property Price Index ;  Brisbane ;,83.6
2007-06-01 00:00:00,Residential Property Price Index ;  Brisbane ;,89
2007-09-01 00:00:00,Residential Property Price Index ;  Brisbane ;,93.4
2007-12-01 00:00:00,Residential Property Price Index ;  Brisbane ;,98.1
2008-03-01 00:00:00,Residential Property Price Index ;  Brisbane ;,100.6
2008-06-01 00:00:00,Residential Property Price Index ;  Brisbane ;,101.3
2008-09-01 00:00:00,Residential Property Price Index ;  Brisbane ;,97.5
2008-12-01 00:00:00,Residential Property Price Index ;  Brisbane ;,95.8
2009-03-01 00:00:00,Residential Property Price Index ;  Brisbane ;,96
2009-06-01 00:00:00,Residential Property Price Index ;  Brisbane ;,98.8
2009-09-01 00:00:00,Residential Property Price Index ;  Brisbane ;,102.1
2009-12-01 00:00:00,Residential Property Price Index ;  Brisbane ;,105.3
2010-03-01 00:00:00,Residential Property Price Index ;  Brisbane ;,106.4
2010-06-01 00:00:00,Residential Property Price Index ;  Brisbane ;,107
2010-09-01 00:00:00,Residential Property Price Index ;  Brisbane ;,105.3
2010-12-01 00:00:00,Residential Property Price Index ;  Brisbane ;,105
2011-03-01 00:00:00,Residential Property Price Index ;  Brisbane ;,102.9
2011-06-01 00:00:00,Residential Property Price Index ;  Brisbane ;,102.5
2011-09-01 00:00:00,Residential Property Price Index ;  Brisbane ;,99.9
2011-12-01 00:00:00,Residential Property Price Index ;  Brisbane ;,100.2
2012-03-01 00:00:00,Residential Property Price Index ;  Brisbane ;,100
2012-06-01 00:00:00,Residential Property Price Index ;  Brisbane ;,99.9
2012-09-01 00:00:00,Residential Property Price Index ;  Brisbane ;,100.8
2012-12-01 00:00:00,Residential Property Price Index ;  Brisbane ;,101.7
2013-03-01 00:00:00,Residential Property Price Index ;  Brisbane ;,101.9
2013-06-01 00:00:00,Residential Property Price Index ;  Brisbane ;,103.2
2013-09-01 00:00:00,Residential Property Price Index ;  Brisbane ;,104.5
2013-12-01 00:00:00,Residential Property Price Index ;  Brisbane ;,107.1
2014-03-01 00:00:00,Residential Property Price Index ;  Brisbane ;,108.5
