quarter,state,price_index
Unit,Residential Property Price Index ;  Sydney ;,Index Numbers
2017-12-01 00:00:00,Residential Property Price Index ;  Weighted average of eight capital cities ;,147.6
2018-03-01 00:00:00,Residential Property Price Index ;  Weighted average of eight capital cities ;,146.6
2018-06-01 00:00:00,Residential Property Price Index ;  Weighted average of eight capital cities ;,145.6
2018-09-01 00:00:00,Residential Property Price Index ;  Weighted average of eight capital cities ;,143.4
2018-12-01 00:00:00,Residential Property Price Index ;  Weighted average of eight capital cities ;,140
2019-03-01 00:00:00,Residential Property Price Index ;  Weighted average of eight capital cities ;,135.8
2019-06-01 00:00:00,Residential Property Price Index ;  Weighted average of eight capital cities ;,134.8
2019-09-01 00:00:00,Residential Property Price Index ;  Weighted average of eight capital cities ;,138.1
2019-12-01 00:00:00,Residential Property Price Index ;  Weighted average of eight capital cities ;,143.5
2020-03-01 00:00:00,Residential Property Price Index ;  Weighted average of eight capital cities ;,145.8
2020-06-01 00:00:00,Residential Property Price Index ;  Weighted average of eight capital cities ;,143.2
2020-09-01 00:00:00,Residential Property Price Index ;  Weighted average of eight capital cities ;,144.3
2020-12-01 00:00:00,Residential Property Price Index ;  Weighted average of eight capital cities ;,148.7
2021-03-01 00:00:00,Residential Property Price Index ;  Weighted average of eight capital cities ;,156.7
2021-06-01 00:00:00,Residential Property Price Index ;  Weighted average of eight capital cities ;,167.2
2021-09-01 00:00:00,Residential Property Price Index ;  Weighted average of eight capital cities ;,175.6
2021-12-01 00:00:00,Residential Property Price Index ;  Weighted average of eight capital cities ;,183.9
Unit,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,Percent
Series Type,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,Original
Data Type,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,PERCENT
Frequency,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,Quarter
Collection Month,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,3
Series Start,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,2003-09-01 00:00:00
Series End,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,2021-12-01 00:00:00
No. Obs,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,74
Series ID,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,A83728389A
2004-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,-1.3
2004-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,-3.9
2005-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,-4.4
2005-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,-2.1
2005-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,-3.3
2005-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,-3.5
2006-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,-2.9
2006-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,-0.4
2006-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,0.7
2006-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,1.1
2007-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,1.4
2007-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,3.5
2007-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,6.5
2007-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,7.9
2008-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,8.1
2008-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,2.5
2008-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,-1.8
2008-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,-5.3
2009-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,-5.2
2009-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,0.2
2009-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,6.3
2009-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,13.6
2010-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,17.9
2010-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,15.9
2010-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,11
2010-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,5.5
2011-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,2.1
2011-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,0
2011-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,-1.2
2011-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,-2.9
2012-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,-0.7
2012-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,0
2012-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,1
2012-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,5.4
2013-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,4.4
2013-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,7.2
2013-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,11.8
2013-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,14.8
2014-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,16.2
2014-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,15.9
2014-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,14.2
2014-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,12.1
2015-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,13.1
2015-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,18.9
2015-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,19.9
2015-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,13.9
2016-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,9.7
2016-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,3.6
2016-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,3.2
2016-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,10.3
2017-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,14.4
2017-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,13.8
2017-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,9.4
2017-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,3.8
2018-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,-0.5
2018-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,-3.9
2018-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,-4.4
2018-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,-7.8
2019-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,-10.3
2019-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,-9.6
2019-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,-4.6
2019-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,3.7
2020-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,10
2020-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,8.1
2020-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,5.4
2020-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,3.7
2021-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,8
2021-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,19.3
2021-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,25.4
2021-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Sydney ;,26.7
Unit,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,Percent
Series Type,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,Original
Data Type,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,PERCENT
Frequency,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,Quarter
Collection Month,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,3
Series Start,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,2003-09-01 00:00:00
Series End,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,2021-12-01 00:00:00
No. Obs,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,74
Series ID,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,A83728398C
2004-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,0.3
2004-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,0.5
2005-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,2.8
2005-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,3.8
2005-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,3.6
2005-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,2.6
2006-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,4.6
2006-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,6.3
2006-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,7.9
2006-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,8.6
2007-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,8.6
2007-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,13.1
2007-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,16.7
2007-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,21.9
2008-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,20.7
2008-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,12.5
2008-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,4.4
2008-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,-2.8
2009-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,-3.7
2009-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,1.6
2009-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,11.4
2009-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,19.8
2010-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,25.2
2010-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,22.2
2010-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,12.8
2010-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,7.2
2011-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,1.4
2011-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,-2.5
2011-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,-2.9
2011-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,-5.4
2012-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,-5.1
2012-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,-4.1
2012-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,-2.7
2012-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,0.4
2013-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,1.4
2013-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,3.4
2013-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,7.4
2013-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,9.3
2014-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,9.8
2014-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,9.2
2014-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,6.8
2014-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,5
2015-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,4.7
2015-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,7.8
2015-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,9.9
2015-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,9.6
2016-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,9.8
2016-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,8.2
2016-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,6.9
2016-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,10.8
2017-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,13.4
2017-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,13.8
2017-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,13.2
2017-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,10.2
2018-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,6.2
2018-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,2.3
2018-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,-1.5
2018-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,-6.4
2019-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,-9.4
2019-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,-9.3
2019-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,-3.5
2019-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,4.1
2020-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,10.4
2020-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,8.8
2020-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,4.7
2020-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,2.9
2021-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,5.9
2021-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,15
2021-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,19.5
2021-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Melbourne ;,20
Unit,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,Percent
Series Type,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,Original
Data Type,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,PERCENT
Frequency,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,Quarter
Collection Month,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,3
Series Start,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,2003-09-01 00:00:00
Series End,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,2021-12-01 00:00:00
No. Obs,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,74
Series ID,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,A83728407V
2004-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,10.9
2004-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,3.7
2005-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,2.7
2005-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,2.2
2005-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,3.4
2005-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,4.2
2006-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,4.1
2006-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,5.7
2006-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,6.7
2006-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,7.3
2007-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,10.6
2007-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,14.8
2007-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,19
2007-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,21.9
2008-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,20.3
2008-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,13.8
2008-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,4.4
2008-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,-2.3
2009-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,-4.6
2009-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,-2.5
2009-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,4.7
2009-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,9.9
2010-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,10.8
2010-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,8.3
2010-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,3.1
2010-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,-0.3
2011-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,-3.3
2011-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,-4.2
2011-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,-5.1
2011-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,-4.6
2012-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,-2.8
2012-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,-2.5
2012-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,0.9
2012-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,1.5
2013-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,1.9
2013-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,3.3
2013-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,3.7
2013-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,5.3
2014-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,6.5
2014-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,7.1
2014-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,6.2
2014-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,4.9
2015-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,3.9
2015-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,2.9
2015-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,3.8
2015-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,4.2
2016-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,4.1
2016-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,4.3
2016-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,3.1
2016-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,3.8
2017-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,3.5
2017-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,3
2017-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,3.5
2017-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,2.1
2018-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,1.6
2018-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,1.7
2018-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,1.7
2018-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,-0.3
2019-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,-1.3
2019-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,-2.7
2019-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,-2.6
2019-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,0.3
2020-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,2.5
2020-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,2.3
2020-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,3.1
2020-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,4
2021-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,7.5
2021-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,14.6
2021-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,19.7
2021-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Brisbane ;,27.8
Unit,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Adelaide ;,Percent
Series Type,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Adelaide ;,Original
Data Type,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Adelaide ;,PERCENT
Frequency,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Adelaide ;,Quarter
Collection Month,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Adelaide ;,3
Series Start,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Adelaide ;,2003-09-01 00:00:00
Series End,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Adelaide ;,2021-12-01 00:00:00
No. Obs,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Adelaide ;,74
Series ID,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Adelaide ;,A83728416W
2004-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Adelaide ;,7.9
2004-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Adelaide ;,7.4
2005-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Adelaide ;,5.9
2005-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Adelaide ;,5.2
2005-09-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Adelaide ;,4.3
2005-12-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Adelaide ;,4.4
2006-03-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Adelaide ;,5.2
2006-06-01 00:00:00,Residential Property Price Index percentage change from corresponding quarter of previous year ;  Adelaide ;,5.9
